單位列表:
人族/泰坦	Titan
補給站	Supply Depot
兵營	Barracks
陸戰隊	Marine
掠奪者	Marauder
死神	Reaper
幽靈特	Ghost
軍工廠	Factory
惡狼	Hellion
攻城坦克	Siege Tank
寡婦詭雷	Widow Mine
戰狼	Hellbat
雷神號	Thor
颶風飛彈車	Cyclone
星際港	Starport
維京戰機	Viking
醫療艇	Medivac
渡鴨	Raven
女妖轟炸機	Banshee
戰巡艦	Battlecruiser
解放者	Liberator
核聚變核心	Fusion Core
兵工廠	Armory
指揮中心	Command Center
太空工程車	SCV
星軌指揮總部	Orbit Command
行星要塞	Planetary Fortress
電機工程所	Engineering Bay
瓦斯精煉廠	Refinery
飛彈砲台	Missile Turret
感應塔	Sensor Tower
幽靈特務學院	Ghost Academy
碉堡	Bunker
科技實驗室	Tech Lab
反應爐	Reactor
神族/首生者	Protoss
星核	Nexus
水晶塔	Pylon
瓦斯處理廠	Assimilator
探測機	Probe
母艦核心	Mothership Core
聖母艦	Mothership
傳送門	Gateway
空間之門	Warp Gate
狂戰士	Zealot
哨衛	Sentry
追獵者	Stalker
高階聖堂武士	High Templar
黑暗聖堂武士	Dark Templar
教士	Adept
執政官	Archon
冶煉廠	Forge
光子加農砲	Phonon Cannon
機械控制核心	Cybernetics Core
星際之門	Stargate
鳳凰戰機	Phoenix
先知艦	Oracle
虛空艦	Void Ray
暴風艦	Tempest
航空母艦	Carrier
機械製造廠	Robotics Facility
觀察者	Observer
傳輸稜鏡	Warp Prism
不朽者	Immortal
巨像	Colossus
裂光球	Disrupter
暮光議會	Twilight Council
艦隊導航台	Fleet Beacon
機械研究所	Robotics Bay
聖堂文庫	Templar Archives
黑暗聖殿	Dark Shrine
蟲族	Zerg
孵化所	Hatchery
幼蟲	Larva
后蟲	Queen
工蟲	Drone
飛螳	Mutalisk
感染蟲	Infestor
百生獸	Swarm Host
飛蟒	Viper
雷獸	Ultralisk
王蟲	Overlord
異化蟲	Zergling
蟑螂	Roach
刺蛇	Hydralisk
腐化飛蟲	Corruptor
監察王蟲	Overseer
毒爆蟲	Baneling
劫毀蟲	Ravager
遁地獸	Lurker
寄生王蟲	Brood Lord
孵化池	Spawning Pool
進化室	Evolution Chamber
瓦斯萃取巢	Extractor
蟲穴	Lair
蟑螂繁殖場	Roach Warren
毒爆蟲巢	Baneling Nest
脊刺爬行蟲	Spine Crawler
袍子爬行蟲	Spore Crawler
感染巢	Infestation Pit
刺蛇獸穴	Hydrylisk Den
遁地獸穴	Lurker Den
飛螳塔	Spire
蟲殖地網	Nydus Network
地下蠕蟲	Nydus Worm
蟲巢	Hive
雷獸洞穴	Ultralisk Cavern
巨型螺旋塔	Greater Spire
